Portfolio,Provenance Statement,Date,Signed,Period,(not entered),Artist,On View,Img_path,Markings,More Information,Inscribed,Dynasty,Classifications,Dimensions,Credit Line,Culture,Object number,Materials,Place of Origin,Department,Img_url,Title
,,25-220,,Eastern Han period (25-220),,,On view,images_china/asian_china1290.jpg,,"Tomb Figurines in Human Form By the Han dynasty (206 BCE–220 CE) human sacrifice was no longer part of the funerary ceremony, and clay models were buried instead. Most clay figurines represented the servants and protectors of the deceased, including warriors, entertainers, cooks, grooms, and maidservants of the court. A fascinating study of changes in fashion and ideals of feminine beauty can be made by examining these tomb models. The human figurines in these tombs were arranged in a definite hierarchy. Models of servants and support staff were arranged along the floors and niches. Images of the deceased and his or her peers, as well as admired historical personalities and divine beings, were painted, carved in stone, or impressed in the clay tiles that made up the sarcophagus and the walls of the tomb chamber.",,,Sculpture,"H. 3 3/4 in x W. 2 3/8 in x D. 2 3/4 in, H. 9.2 cm x W. 5.4 cm x D. 7 cm",The Avery Brundage Collection,,B60B803,Bronze,"Changsha, Hunan province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/12332/preview,"Seated figure, one of four"
,,500-400 BCE,,Spring and Autumn period (770-476 BCE) or Warring States period (approx. 475-221 BCE),,,Not on view,images_china/asian_china1291.jpg,,,,,Metal Arts,H. 5 1/2 in x W. 1 1/2 in,The Avery Brundage Collection,,B60B815,Bronze,"Shouzhou, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/12347/preview,Lance butt
,,,,,,,Not on view,images_china/asian_china1292.jpg,,"Rooster (jigong) and hibiscus (furong) form a pictorial pun for gongming fugui (""high rank, riches, and honor"").",,"Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Ceramics,"H. 1 7/8 in x Diam. 2 1/4 in, H. 4.8 cm x Diam. 5.7 cm",The Avery Brundage Collection,,B60P2330,Porcelain with overglaze polychrome decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/18913/preview,Cup with rooster and hibiscus
,,,,,,,Not on view,images_china/asian_china1293.jpg,,,,"Qing dynasty (1644-1911), prob. Reign of the Kangxi emperor (1662-1722)",Ceramics,"H. 2 1/2 in x Diam. 8 1/4 in, H. 6.5 cm x Diam. 21 cm",The Avery Brundage Collection,,B60P2355,Porcelain with Mazarin blue glaze,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/18950/preview,Shallow bowl
,,1723-1735,,,,,On view,images_china/asian_china1294.jpg,,An image of two crabs clinging to a stalk of grain is a visual pun signifying a wish for a high score on the final civil service examination.,,"Qing dynasty (1644-1911), Reign of the Yongzheng emperor (1723-1735)",Ceramics,"H. 1/2 in x W. 4 1/2 in x D. 4 in, H. 1.3 cm x W. 11.4 cm x D. 10.2 cm",The Avery Brundage Collection,,B60P2368,Porcelain with overglaze multicolor decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/18972/preview,Ink palette with motif of two crabs
,,,,,,,Not on view,images_china/asian_china1295.jpg,,"In addition to the techniques used to decorate the similar piece (cat. no. 628), this dish was incised with wavy patterns beneath the glaze on the exterior. A dragon pursuing a flaming pearl was rendered against a medallion on the interior bottom, and there are galloping dragons on the two sides of the exterior. White, hidden waves are faintly visible around the dragons. Notable is the mark, written in three rows with no circular frame, a style of mark that existed parallel to the more common type with two columns enclosed in a double circle.",,"Qing dynasty (1644-1911), Reign of the Qianlong emperor (1736-1795)",Ceramics,"H. 1 1/2 in x Diam. 7 in, H. 3.8 cm x Diam. 17.8 cm",The Avery Brundage Collection,,B60P1120,Porcelain with enamel decoration,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17062/preview,"Deep saucer, one of a pair"
,,,,,,,Not on view,images_china/asian_china1296.jpg,,,,Han dynasty (206 BCE-220 CE),Metal Arts,H. 2 in x W. 2 1/2 in,The Avery Brundage Collection,,B60B946,Gilt bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/12520/preview,"Fitting, one of a pair"
,,,,,,,Not on view,images_china/asian_china1297.jpg,,,,Han dynasty (206 BCE-220 CE),Metal Arts,H. 5 in x W. 8 in,The Avery Brundage Collection,,B60B964.a-.b,Bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/12560/preview,Covered vessel
,,,,,,,Not on view,images_china/asian_china1298.jpg,,,,Eastern Zhou period (770-256 BCE),Metal Arts,"L. 6 7/8 in, L. 17.5 cm",Gift of Brian S. McElney,,B87B2,Bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/29181/preview,Blade (scythe)
,,,,,,,Not on view,images_china/asian_china1299.jpg,,,,Han dynasty (206 BCE-220 CE),Metal Arts,H. 2 in x Diam. 3 3/4 in,The Avery Brundage Collection,,B65B52,Bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/22172/preview,Miniature lamp
,,,,,,,Not on view,images_china/asian_china1300.jpg,,,,Eastern Han period (25-220),Metal Arts,H. 7/16 in x Diam. 9 1/4 in,The Avery Brundage Collection,,B62B48,Bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/20135/preview,Mirror
,,,,Warring States period (approx. 475-221 BCE),,,Not on view,images_china/asian_china1301.jpg,,,,,Metal Arts,H. 3/16 in x Diam. 4 1/2 in,The Avery Brundage Collection,,B60B1063,Bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/12866/preview,Mirror
,,,,,,,Not on view,images_china/asian_china1302.jpg,,,,Eastern Han period (25-220),Metal Arts,"H. 2 1/2 in x W. 2 3/4 in, H. 6.35 cm x W. 7 cm",The Avery Brundage Collection,,B60B1071,Bronze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/12875/preview,Mat weight
,,,,,,,Not on view,images_china/asian_china1303.jpg,,,,Yuan dynasty (1271-1368),Ceramics,H. 3 in x W. 7 3/4 in,The Avery Brundage Collection,,B60P104,"High-fired ceramic with purplish lavender outside, greenish blue inside","Henan province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/16399/preview,Tripod dish
,,,,,,,Not on view,images_china/asian_china1304.jpg,,,,Ming dynasty (1368-1644),Ceramics,"H. 27 in x Diam. 17 in, H. 68.6 cm x Diam. 43.2 cm",The Avery Brundage Collection,,B60P116+,High-fired ceramic with underglaze iron and turquoise overglaze decoration,"Hebei province or Shanxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/16431/preview,Vase
,,1271-1368,,,,,On view,images_china/asian_china1305.jpg,,"Ceramics for Daily Use, 900–1368 The Song dynasty was a time of dramatic growth in population, urbanism, commercialization, monetization, and technology. Those living in urban centers could find new forms of entertainment, a wide variety of goods to purchase, and careers and lifestyles unknown during previous dynasties. For the first time in Chinese history a genuinely urban middle class was emerging. During the Song dynasty, dishes and vessels for household use were commonly ceramics. They were produced in abundance for use in both ordinary homes and the imperial palace; they were also increasingly made for export throughout Asia. Items in this case— cups, bowls, and containers—characteristically carry the simplicity and elegance dictated by Song-dynasty taste.",,Yuan dynasty (1271-1368),Ceramics,"H. 11 in x Diam. 9 7/8 in, H. 28 cm x Diam. 25.1 cm",The Avery Brundage Collection,,B60P277,"High-fired ceramic with incised decoration under glaze
(Cizhou ware)",China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/60126/preview,Jar with floral patterns
,,,,,,,Not on view,images_china/asian_china1306.jpg,,"This type of exquisite bowl has not been seen in archaeological materials excavated from kiln sites in Longquan. Most scalloped bowls lack the highly detailed ornamentation seen here. The use of a frieze bordering the mouth seen on Northern Song ding ware was applied, but only occasionally by longquan potters during the Southern Song through the Yuan dynasty. This style of adding a decorative frieze around the border of the vessel's mouth did not become schematized until the Ming. This bowl and another vessel with the same pattern of ornamentation now in the Palace Museum (Hua 1985: pl. 307) were two unconventional pieces among longquan ware. The sides of the body of this bowl are incised with floral sprays.",,Yuan dynasty (1271-1368),Ceramics,"H. 5 3/8 in x Diam. 11 1/2 in, H. 13.7 cm x Diam. 29.2 cm",The Avery Brundage Collection,,B60P353,High-fired ceramic with carved decoration and green glaze,"Zhejiang province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/16765/preview,Bowl with eight scalloped divisions
,,,,,,,Not on view,images_china/asian_china1307.jpg,,,,Yuan dynasty (1271-1368),Ceramics,"H. 3 1/2 in x Diam. 16 1/2 in, H. 8.9 cm x Diam. 41.9 cm",The Avery Brundage Collection,,B60P359,High-fired ceramic with celadon glaze,"Zhejiang province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/16770/preview,Large plate
,,,,,,,Not on view,images_china/asian_china1308.jpg,,,,Yuan dynasty (1271-1368),Ceramics,"H. 6 in x Diam. 12 1/2 in, H. 15.2 cm x Diam. 31.7 cm",The Avery Brundage Collection,,B60P525,High-fired ceramic with celadon glaze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/16968/preview,Bowl
,,1368-1398,,,,,On view,images_china/asian_china1309.jpg,,"Tea Making, 1300–present To infuse drinkers with vitality, varieties of tea were made according to season and weather conditions. Tea became a part of the aesthetics of the imperial family and educated elite who sought ideal preparation requiring quality mountain spring water, high-quality tea from renowned tea plantations, and the perfect tea ware. Tea making involved pouring boiling water over tea leaves in specially designed pots, from which tea was poured into small cups for individual drinking.",,"Ming dynasty (1368-1644), Reign of the Hongwu emperor (1368-1398)",Ceramics,"H. 1 in x Diam. 7 1/2 in, H. 2.5 cm x Diam. 19.1 cm",The Avery Brundage Collection,,B60P1214,Porcelain with underglaze decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17161/preview,Cup stand with lotus scrolls
,,approx. 1300-1500,,,,,Not on view,images_china/asian_china1310.jpg,,"This type of large vase usually carried either peony or lotus motifs molded or carved on the long neck and the oval body, though sometimes the design is confined to the body alone. It was grooved with horizontal lines encircling the neck, and molded with vertical lotus panels around the lower portion. Here the lotus motif is depicted in sprays on scrolls and panels around the vessel's body. They have come to light as part of the cargo of the shipwreck at Xin'an (Ministry of Culture and Information 1983: pls. 23-4), but more often have been recovered from storage pits. Three such vases found in a pit in Mongolia dating to 1309 exemplify the masterful potting of the period (WW 1977.5: 76).",,Yuan dynasty (1271-1368) or Ming dynasty (1368-1644),Ceramics,"H. 17 5/8 in x Diam. 8 3/4 in, H. 44.8 cm x Diam. 22.2 cm",The Avery Brundage Collection,,B60P1236,"High-fired ceramic with raised bands partially encircling the neck, molded decoration on the body, and green glaze","Zhejiang province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17185/preview,Vase with lotus motif in low-relief
,,,,,,,Not on view,images_china/asian_china1311.jpg,,,,Southern Song period (1127-1279),Ceramics,"H. 10 1/2 in x Diam. 4 in, H. 26.7 cm x Diam. 10.2 cm",The Avery Brundage Collection,,B60P1443,Porcelain with green celadon glaze,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17436/preview,Vase in shape of archaic ritual vessel (zun)
,,,,,,,Not on view,images_china/asian_china1312.jpg,,,,Song dynasty (960-1279) or Yuan dynasty (1271-1368),Ceramics,H. 1 1/4 in x W. 7 in,The Avery Brundage Collection,,B60P1476,High-fired ceramic with green glaze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17486/preview,Plate
,,,,,,,Not on view,images_china/asian_china1313.jpg,,,,Ming dynasty (1368-1644),Ceramics,"H. 1 1/2 in x Diam. 4 3/4 in, H. 3.8 cm x Diam. 12.1 cm",The Avery Brundage Collection,,B60P1506,Porcelain with celadon glaze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17527/preview,Deep saucer
,,,,,,,Not on view,images_china/asian_china1314.jpg,,,,Yuan dynasty (1271-1368),Ceramics,"H. 3 1/4 in x Diam. 7 3/8 in, H. 8.3 cm x Diam. 18.7 cm",The Avery Brundage Collection,,B60P1603,Porcelain,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17627/preview,Bowl
,,,,,,,Not on view,images_china/asian_china1315.jpg,,,,Yuan dynasty (1271-1368),Ceramics,"H. 2 in x Diam. 8 1/4 in, H. 5.1 cm x Diam. 21.0 cm",The Avery Brundage Collection,,B60P1605,Porcelain,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17631/preview,Plate
,,,,,,,Not on view,images_china/asian_china1316.jpg,,,,Yuan dynasty (1271-1368),Ceramics,"H. 1 1/4 in x Diam. 4 5/8 in, H. 28.6 cm x Diam. 11.7 cm",The Avery Brundage Collection,,B60P1706,Porcelain,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17748/preview,Bowl
,,approx. 1700-1800,,,,,Not on view,images_china/asian_china1317.jpg,,,,,Ceramics,H. 3 1/2 in x Diam. 3 7/8 in,The Avery Brundage Collection,,B60P2094,Porcelain with celadon glaze,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/18696/preview,"Stem cup, one of a pair"
,,approx. 1700-1900,,,,,Not on view,images_china/asian_china1318.jpg,,,,Qing dynasty (1644-1911),Ceramics,"H. 2 1/4 in x Diam. 3 1/8 in, H. 5.7 cm x Diam. 7.9 cm",The Avery Brundage Collection,,B60P1773,Porcelain with coral red glaze,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17855/preview,Small jar
,,1300-1500,,,,,Not on view,images_china/asian_china1319.jpg,,,,,Ceramics,"H. 3 1/2 in x Diam. 3 5/8 in, H. 8.9 cm x Diam. 9.2 cm",The Avery Brundage Collection,,B60P1804,High-fired ceramic,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/17909/preview,Small jar
,,1368-1398,,,,,On view,images_china/asian_china1320.jpg,,"The Song Court, 960–1279 Imperial patronage of the ceramics industry reached new levels in the Song dynasty, when court-sponsored kilns were established and expanded. Through increased patronage and careful restrictions, the use of both official and private kilns blossomed. Seventy-five percent of the kilns established throughout Chinese history were built during the Song dynasty, a fact that testifies to the vast domestic and export markets for Song ceramics. Many Song ceramics feature simple designs, modest decoration, and single-color glazes. Different wares are usually categorized by place of manufacture and are recognized by distinctive glaze colors and effects.",,"Ming dynasty (1368-1644), Reign of the Hongwu emperor (1368-1398)",Ceramics,"H. 4 1/4 in x Diam. 8 in, H. 10.8 cm x Diam. 20.4 cm",The Avery Brundage Collection,,B60P2111,Porcelain with underglaze decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/18719/preview,Bowl with flower scrolls
,,approx. 1368-1500,,,,,Not on view,images_china/asian_china1321.jpg,,"Persisting since the late Yuan, this shape was popular throughout the Ming dynasty. Yuan jars of this type, as demonstrated by specimens from the shipwreck at Xin'an Bay, have relatively shallow carved floral patterns and an arbitrary composition. Also, the friezes of lotus panels circling the lower portion are much looser than those on Yuan pieces (Ministry of Culture and Information 1983: pls. 42-3). An example in the Palace Museum collection, attributed to the Ming, features a four-fold composition and symmetrical design, a theme commonly seen in Ming ceramics. Its bottom, however, retains the typical Yuan treatment of cutting out a deep, empty area inside the foot.",,Ming dynasty (1368-1644),Ceramics,"H. 8 7/8 in x Diam. 11 5/8 in, H. 22.6 cm x Diam. 29.6 cm",The Avery Brundage Collection,,B62P40,"High-fired ceramic with carved decoration and green glaze except on a small area in the deep, concave base","Zhejiang province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/21069/preview,Jar with four chrysanthemums above a lotus frieze
,,,,,,,Not on view,images_china/asian_china1322.jpg,,"One of the Yuan potters' many great contributions to sculpting ceramics was the creation of small ears and ingenious handles for vases, which breaks up the monotonous, solid form, and the introduction of exquisite openwork. A rounded bar was first coiled into various shaped ears, then attached to the neck of the vessel. The design, energetic in movement, was featured on many qingbai vases (CGK Zenshu 1984 vol. 16: 153, 169; Ministry of Culture and Information 1983: 86). With rare projected garlands and the cloud-head-shaped ears flanked by roundels around its neck, this ringed-bodied vase exhibits the supreme inspiration of Yuan ceramics.",,Yuan dynasty (1271-1368),Ceramics,"H. 9 5/8 in x Diam. 4 5/8 in, H. 24.5 cm x Diam. 11.8 cm",The Avery Brundage Collection,,B62P59,"Porcelain with molded and applied decoration, and pale-blue glaze except on the interior and bottom","Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/21094/preview,Vase with serrated garland below the mouth
,,approx. 1600-1644,,,,,Not on view,images_china/asian_china1323.jpg,,,,Ming dynasty (1368-1644),Ceramics,"H. 3 7/8 in x Diam. 4 3/8 in, H. 9.8 cm x Diam. 11.1 cm",The Avery Brundage Collection,,B62P130,"Porcelain with ultramarine glaze, turquoise splashes",China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/21239/preview,Tripod vase
,,approx. 1200-1279,,,,,Not on view,images_china/asian_china1324.jpg,,,,Southern Song period (1127-1279),Ceramics,"H. 6 1/2 in x Diam. 2 1/2 in, H. 16.5 cm x Diam. 6.35 cm",The Avery Brundage Collection,,B62P161,High-fired ceramic with light-green glaze,"Longquan, Zhejiang province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/21304/preview,Mallet vase with phoenix handles
,,approx. 1700-1800,,,,,Not on view,images_china/asian_china1325.jpg,,,,Qing dynasty (1644-1911),Ceramics,H. 2 1/4 in x W. 1 1/4 in,The Avery Brundage Collection,,B62P192,Porcelain with tea-dust glaze,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/21363/preview,Miniature vase
,,1300-1400,,,,,Not on view,images_china/asian_china1326.jpg,,,,,Sculpture,H. 9 1/4 in x W. 3 3/4 in,The Avery Brundage Collection,,B64P42,High-fired ceramic with three-color glaze,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/22020/preview,"Bodhisattva sitting on a lotus throne, one of a pair"
,,,,,,,Not on view,images_china/asian_china1327.jpg,,,,"Qing dynasty (1644-1911), Reign of the Qianlong emperor (1736-1795)",Ceramics,"H. 1 1/4 in x Diam. 6 1/4 in, H. 3.2 cm x Diam. 15.9 cm",The Avery Brundage Collection,,B65P3,Porcelain with a blue-green glaze (dongqing ware),"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/22454/preview,"Bowl, one of a pair"
,,14th-early 15th century,,,,,Not on view,images_china/asian_china1328.jpg,,,,,Ceramics,"H. 5 7/8 in x W. 5 1/4 in x D. 6 in, H. 14.9 cm x W. 13.4 cm x D. 15.3 cm",The Avery Brundage Collection,,B67P33,"High-fired ceramic, dark green body with low relief decoration of prunus, rock and peony",China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23011/preview,Spouted pouring vessel (kendi)
,,1368-1644,,,,,On view,images_china/asian_china1329.jpg,,"Birds and Flowers of the Song through Yuan Dynasties, 960–1368 The Song-dynasty emperor Huizong (reigned 1101–1125) fostered the bird-and-flower genre of painting to a degree no one had before or, indeed, has since. The approach to representing flowers during the Song dynasty was one of studied elegance. Emphasis was upon naturalistic shapes and precise, realistic depiction of scenes found in nature. Bird-and-flower themes were often featured in hand-sculpted and incised decoration, with careful attention paid to subtle colors and uniformity of design. Certain birds were always paired with certain flowers as they occur in nature. Encouraged by the contemporary vogue for keeping flowers in pots, artisans also created ceramic flowerpots. These works underscore the importance in Song ceramics not only of scenic representations but also of objects for practical use.",,Ming dynasty (1368-1644),Ceramics,"H. 10 1/8 in x Diam. 5 1/2 in, H. 25.7 cm x Diam. 14 cm","Transfer from the Fine Arts Museums of San Francisco, Gift of Mrs. Robert McKay",,B68P25,"High-fired ceramic with underglaze decoration
(Cizhou ware)",China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23212/preview,Vase depicting immortals and dancing crane
,,approx. 1700-1800,,,,,Not on view,images_china/asian_china1330.jpg,,,,Qing dynasty (1644-1911),Ceramics,"H. 1 1/4 in x Diam. 8 1/4 in, H. 3 cm x Diam. 22.6 cm",Transfer from the Fine Arts Museums of San Francisco,,B81P69,Porcelain with underglaze blue decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/28404/preview,Plate
,,approx. 1850-1911,,,,,On view,images_china/asian_china1331.jpg,,,,Qing dynasty (1644-1911),Decorative Arts,"H. 7 3/8 in x Diam. 3 3/4 in, H. 18.6 cm x Diam. 9.5 cm","Transfer from the Fine Arts Museums of San Francisco, Gift of Martin J. Heller",,B81M41,Glass,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/28297/preview,Vase
,,approx. 1700-1800,,,,,On view,images_china/asian_china1332.jpg,,,,Qing dynasty (1644-1911),Decorative Arts,"H. 5 1/2 in x Diam. 2 3/4 in, H. 14.1 cm x Diam. 7.1 cm",Gift of Rudolph Schaeffer,,B85M5.1,Glass,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/28895/preview,Hexagonal vase
,,approx. 1800-1900,,,,,On view,images_china/asian_china1333.jpg,,,,Qing dynasty (1644-1911),Decorative Arts,"H. 8 3/8 in x Diam. 5 in, H. 21.3 cm x Diam. 12.7 cm",Gift of Ms. Marilyn Gross,,B85M15,Glass,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/68100/preview,Vase with the scenery of a lotus pond
,,approx. 1500-1644,,,,,Not on view,images_china/asian_china1334.jpg,,,,Ming dynasty (1368-1644),Ceramics,Diam. 5 7/8 in,Gift of Roy Leventritt,,B69P80L.2,Porcelain with underglaze blue decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23832/preview,"Dish, one of a pair"
,,,,,,,Not on view,images_china/asian_china1335.jpg,,,,"Ming dynasty (1368-1644), Reign of the Jiajing emperor (1522-1566)",Ceramics,H. 3 3/4 in,Gift of Roy Leventritt,,B69P41L,Porcelain with underglaze blue decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23719/preview,Jar
,,,,,,,Not on view,images_china/asian_china1336.jpg,,,,"Ming dynasty (1368-1644), Reign of the Jiajing emperor (1522-1566)",Ceramics,Diam. 5 7/8 in,Gift of Roy Leventritt,,B69P40L,Porcelain with underglaze blue decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23715/preview,Bowl
,,,,,,,Not on view,images_china/asian_china1337.jpg,"Wanli mark, six-character mark in two columns","Neatly molded petals in shallow-relief including Sanskrit letters decorate this piece made for use by Buddhists. The refinement of forming and drawing indicate that it was crafted by the masterful hands of the imperial shop workers. The shape is serrated and fluted in two layers of petals that represent a lotus flower. The Sanskrit letter on the interior center is surrounded by two friezes of cloud-heads. The outside shows Sanskrit letters in reserve alternating with flowers in panels. Similar to one held by the Shanghai Museum, a group of these dishes must have been ordered by the court (Shanghai Mus. 1987: pl. 101).",,"Ming dynasty (1368-1644), Reign of the Wanli emperor (1573-1620)",Ceramics,"H. 2 1/4 in x Diam. 7 3/8 in, H. 5.7 cm x Diam. 18.8 cm",Gift of Roy Leventritt,,B69P55L,Porcelain with underglaze-blue decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/66701/preview,Dish with Sanskrit characters
,,1573-1620,,,,,On view,images_china/asian_china1338.jpg,six-character mark in two columns,"Tea Making, 1300–present To infuse drinkers with vitality, varieties of tea were made according to season and weather conditions. Tea became a part of the aesthetics of the imperial family and educated elite who sought ideal preparation requiring quality mountain spring water, high-quality tea from renowned tea plantations, and the perfect tea ware. Tea making involved pouring boiling water over tea leaves in specially designed pots, from which tea was poured into small cups for individual drinking.",,"Ming dynasty (1368-1644), Reign of the Wanli emperor (1573-1620)",Ceramics,"H. 6 1/8 in x W. 3 3/4 in x D. 5 3/8 in, H. 15.6 cm x W. 9.6 cm x D. 13.7 cm",Gift of Roy Leventritt,,B69P54L.a-.b,Porcelain with underglaze blue decoration,"Jingdezhen, Jiangxi province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/23766/preview,Covered pot with scene of fish pond
,,1644-1911,,,,,On view,images_china/asian_china1339.jpg,,,,Qing dynasty (1644-1911),Jade And Stones,"H. 2 1/2 in x Diam. 2 in, H. 6.4 cm x Diam. 5.1 cm",The Avery Brundage Collection,,B60J351,Nephrite,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/14307/preview,Horse and monkey with peaches of longevity
,,1644-1911,,,,,On view,images_china/asian_china1340.jpg,,,,Qing dynasty (1644-1911),Jade And Stones,"H. 3 1/2 in x W. 3 3/4 in x D. 1 1/2 in, H. 8.9 cm x W. 9.5 cm x D. 3.8 cm",The Avery Brundage Collection,,B60J360,Nephrite,China,Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/14322/preview,Two monkeys playing with a horse
,,618-907,,,,,On view,images_china/asian_china1341.jpg,,"Glazed Pottery of the Tang Dynasty The earliest of the glazed funerary pottery in the cases around you date to around 100 BCE. Most of these early examples are either green or yellow. Over the following centuries, Chinese potters experimented with lead-based glazes and added blue, white, and a number of other colors to their palette. At the peak of their development in the Tang dynasty, glazes were made in five or six colors. These colorful Tang-dynasty ceramics are known in Chinese as sancai, or three-color wares. The glazes were applied with little apparent regard for the natural coloration of the animal or object depicted, and sancai wares are among the few examples in Chinese ceramics that have the appearance of spontaneity. However, this appearance can be deceiving, as a range of devices, including the application of resists and the incising of patterns on the surface, were sometimes used to control the flow of the glaze. The peak period of production of sancai wares was short—from about 690 to 750. The vast number of objects found in Chinese tombs and in collections around the world is evidence of the everlasting charm of this medieval Chinese aristocratic fashion.",,Tang dynasty (618-907),Ceramics,"H. 6 3/4 in x Diam. 4 5/8 in, H. 16.8 cm x Diam. 10.2 cm",The Avery Brundage Collection,,B70P19,Earthenware with glaze,"Shaanxi province or Henan province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/24488/preview,Jar
,,,,,,,Not on view,images_china/asian_china1342.jpg,,"The conception for this piece (comparable to that for cat. no. 378) was to simplify one of the most common elements on ceramics, floral panels, into streaks in rows around the inner sides of a bowl. The design could be applied on the outer sides of a bowl such as the cizhou-type during the Yuan (WW 1990.4: 16). The background and foreground contrast with streaks of brown and black. The thick glaze, fluid in drops around the lower portion of the bowls, and the unglazed footring were common on Jin-Yuan wares.",,Yuan dynasty (1271-1368),Ceramics,"H. 3 in x Diam. 6 3/4 in, H. 7.6 cm x Diam. 17.2 cm",The Avery Brundage Collection,,B62P36,High-fired ceramic with brown glaze and overglaze black markings,"Henan province or Hebei province, China",Chinese Art,https://searchcollection.asianart.org/internal/media/dispatcher/21061/preview,Bowl with black streaks
