Title,Artist,Place of Origin,Date,Material,Dimensions,Credit Line,Object Number,Object Name,Type,Style,On View,inscribed/Inscripions,Description,save_path,Image URL,Unnamed: 16,Medium,Museum
"Rim fragment, number on piece: 98/10 A",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2848.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-638_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" C4d #68",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2849.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-674_1,,,Smithsonian Institution
Mirror,,China,,,Diam x D: 13.1 x 1.1 cm (5 3/16 x 7/16 in),Purchase — Charles Lang Freer Endowment,,,Mirror,,,,,All_images\image2850.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-42_1-000001,,Bronze,Smithsonian Institution
Ornament in the form of a foreigner,,China,960-1279,,H x W x D: 5.4 x 2.8 x 1.2 cm (2 1/8 x 1 1/8 x 1/2 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2851.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7402_29,,Jade,Smithsonian Institution
Dog,,China,5th-6th century,,H x W x D: 2.7 x 4.4 x 3.9 cm (1 1/16 x 1 3/4 x 1 9/16 in),Gift of Arthur M. Sackler,,,Sculpture,,,,,All_images\image2852.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6024_11,,Jade,Smithsonian Institution
Garment hook,,China,400-200 BCE,,H x W x D: 3 x 0.9 x 1.8 cm (1 3/16 x 3/8 x 11/16 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2853.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6191_12,,Bronze,Smithsonian Institution
"Large urn with everted rim, number on piece 99/2",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2854.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-657_1-000001,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #21",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2855.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-752_2,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" C4l(i) (Rim 81) #54",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2856.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-711_1,,,Smithsonian Institution
Pin,,China,618-906,,H x Diam: 24.7 x 3.5 cm (9 3/4 x 1 3/8 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.575.1",,,Jewelry and Ornament,,,,,All_images\image2857.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8083_24,,"Gold and glass; cast, hammered, and soldered",Smithsonian Institution
"Rim fragment, number on piece ""west"" C4d(i) #60",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2858.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-756_1,,,Smithsonian Institution
Epitaph of Palace Lady Liu Asu in standard script 宮内太監劉阿素墓誌銘,,China,inscription: 520; rubbing: 20th century,,H x W: 62.3 x 40 cm (24 1/2 x 15 3/4 in),Gift of Peking University,,,Rubbing,,,,,All_images\image2859.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7502_38,,Ink on paper,Smithsonian Institution
Snowscape in the Style of Li Cheng,Wang Hui (1632-1717),China,1696,,H x W (image): 43.4 × 50.2 cm (17 1/16 × 19 3/4 in),Purchase — Charles Lang Freer Endowment,,,Painting,,,,,All_images\image2860.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7431_13,,Ink and color on paper,Smithsonian Institution
Three-legged Ting in animal shape; removable lid,,China,,,,,,,Vessel,,,,,All_images\image2861.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-B-89a-b_1-000001,,Bronze,Smithsonian Institution
"Rim fragment, number on piece ""west"" C4g(o) (Rim 76) #50",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2862.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-687_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #17",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2863.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-693_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4b #32",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2864.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-662_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" C4b (Rim 94) #74",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2865.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-734_1,,,Smithsonian Institution
"Dish, fragment",,"Zhejiang province, China",10th-11th century,,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2866.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-246v1,,Stoneware with celadon glaze,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #19",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2867.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-664_1,,,Smithsonian Institution
Fragment of a dish with mark shang,,"Zhejiang province, China",10th-11th century,,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2868.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-256v1,,Stoneware with celadon glaze,Smithsonian Institution
Garment hook,,China,400-200 BCE,,H x W x D: 3.6 x 1 x 1.7 cm (1 7/16 x 3/8 x 11/16 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2869.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6192_07,,Bronze,Smithsonian Institution
Poem in cursive script,Wang Jide (ca. 1563-1623),China,early 17th century,,H x W: 31.8 x 60.9 cm (12 1/2 x 24 in),Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images\image2870.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7450_12,,Album leaf; ink on gold-flecked paper,Smithsonian Institution
"Bowl, rim and wall fragment",,"Liulichang kiln site, Chengdu, Sichuan province, China",1127-1279,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2871.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-f-scp-147v1,,"Stoneware with black iron glaze on interior and upper wall of exterior, white slip under glaze on rim",Smithsonian Institution
Ornament: grotesque animal mask,,China,ca. 1050-771 BCE,,H x W x D (overall): 5.7 x 5.5 x 1.9 cm (2 1/4 x 2 3/16 x 3/4 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images\image2872.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6923_02,,Bronze,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4a #41",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2873.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-744_2,,,Smithsonian Institution
Gourd-shaped Hu,,China,600-500 BCE,,H x W x D: 30.6 x 11.5 x 14.3 cm (12 1/16 x 4 1/2 x 5 5/8 in),Gift of Arthur M. Sackler,,,Vessel,,,,,All_images\image2874.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6352_06,,Bronze Cast,Smithsonian Institution
Ornament in the form of a ram,,China,ca. 900 BCE,,H x W x D: 3.4 x 5.6 x 2.8 cm (1 5/16 x 2 3/16 x 1 1/8 in),Gift of Charles Lang Freer,,,Jewelry and Ornament,,,,,All_images\image2875.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7728_22,,Bronze,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4a (Rim 69) #39",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2876.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-749_2,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" B4j #76",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2877.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-705_1,,,Smithsonian Institution
"Fragment of base showing footring and elements of stacking device: portion of clay ring, two cone-shaped clay spurs",,China,,,,Gift of Mrs. E. H. Bell,,,Vessel,,,,,All_images\image2878.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-3610_1,,,Smithsonian Institution
"Bowl, fragment of rim",,"Liulichang kiln site, Chengdu, Sichuan province, China",1127-1279,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2879.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-f-scp-146v1,,"Stoneware with white slip under amber glaze on interior, areas of white slip under amber glaze on exterior",Smithsonian Institution
"Rim fragment, number on piece ""west"" C4d (Rim 88) #63",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2880.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-726_1,,,Smithsonian Institution
Fragment,,"Guangdong province, China",,,H x W (overall): 4.2 x 2.9 cm (1 5/8 x 1 1/8 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Vessel,,,,,All_images\image2881.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-4201_2,,,Smithsonian Institution
"Incomplete bowl, restored at Freer",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2882.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-636_1-000001,,,Smithsonian Institution
Fragment of bowl through foot,,China,mid 17th-early 18th century,,,Gift of Mrs. Richard Schanck,,,Vessel,,,,,All_images\image2883.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-528_1,,,Smithsonian Institution
Blue-and-white vessel,,China,late 17th century,,,Gift of Helen D. Ling,,,Vessel,,,,,All_images\image2884.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-996_001,,Porcelain with cobalt pigment under translucent glaze,Smithsonian Institution
"Tomb model of a wine cup (""ear cup"")",,China,25-220 CE,,H x W x D: 6.3 x 11.8 x 13.6 cm (2 1/2 x 4 5/8 x 5 3/8 in),Purchase — Smithsonian Unrestricted Trust Funds,,,Vessel,,,,,All_images\image2885.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6592_01,,Earthenware with copper-green lead-silicate glaze,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #2",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2886.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-686_1,,,Smithsonian Institution
Rim and shoulder of a round box (fragment),,China,19th century,,,,,,Container,,,,,All_images\image2887.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-971_1,,Porcelain with enamels over clear glaze,Smithsonian Institution
Excerpt from the Stele of Shi Chen in clerical script,Yang Xian (1819-1896),China,1895,,H x W (each image): 133 x 33 cm (52 3/8 x 13 in),Purchase — Charles Lang Freer Endowment,,,Calligraphy,,,,,All_images\image2888.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7425_29,,Set of four hanging scrolls; ink on paper,Smithsonian Institution
Inkstick,,China,19th century,,H x W: 7.2 x 3.3 cm (2 13/16 x 1 5/16 in),Gift of Marguerite Church,,,Tool and Equipment,,,,,All_images\image2889.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7777_05,,Soot and glue with blue and gold pigment,Smithsonian Institution
Transcription of the Prajnaparamita sutra,,China,inscription: early 8th century; rubbing: 20th century,,H x W (overall): 38.7 x 113.2 cm (15 1/4 x 44 9/16 in),Gift of Peking University,,,Rubbing,,,,,All_images\image2890.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7503_13,,Ink on paper,Smithsonian Institution
Garment hook,,China,206 B.C.-220,,H x W x D: 4.7 x 26 x 4.5 cm (1 7/8 x 10 1/4 x 1 3/4 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.269",,,Jewelry and Ornament,,,,,All_images\image2891.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-LTS1985.1.269.1_001,,"Bronze, glass, and gold; cast, incised, inlaid, and gilded",Smithsonian Institution
"Rim fragment, number on piece ""west"" C4c #67",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2892.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-758_1,,,Smithsonian Institution
Fragment of a dish,,"Zhejiang province, China",10th-11th century,,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2893.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-260v1,,Stoneware with celadon glaze,Smithsonian Institution
Meeting in a bamboo grove,Formerly attributed to Li Gonglin (傳)李公麟 (ca. 1049-1106),China,17th- 19th century,,H x W (image): 24.8 x 28.8 cm (9 3/4 x 11 5/16 in),Gift of Charles Lang Freer,,,Painting,,,,,All_images\image2894.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7412_34,,Ink and color on paper,Smithsonian Institution
"Fragment of urn with everted rim, number on piece 99/14",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2895.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-653_1-000001,,,Smithsonian Institution
Ewer or jar; fragment of shoulder,,"Zhejiang province, China",11th century,,H x W x D: 7 × 10.6 × 0.6 cm (2 3/4 × 4 3/16 × 1/4 in),Gift of Mr. Yokota,,,Vessel,,,,,All_images\image2896.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-2087,,Stoneware with translucent celadon glaze,Smithsonian Institution
Garment hook (daigou),,China,1600-1700,,H x W x D: 7.6 x 1.8 x 2.2 cm (3 x 11/16 x 7/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2897.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6892_08,,Jade,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4a #44",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2898.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-688_1,,,Smithsonian Institution
Head of a Bodhisattva,,China,1300-1500,,H x W x D: 25.3 x 20.2 x 17.6 cm (9 15/16 x 7 15/16 x 6 15/16 in),"Long-term loan from the Smithsonian American Art Museum; gift of John Gellatly, 1929.8.338",,,Sculpture,,,,,All_images\image2899.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-8098_10,,Iron,Smithsonian Institution
"Letter on a Stomach Ache, in wild-cursive script 肚痛帖",,China,inscription: 8th century; rubbing: 20th century,,H x W (overall): 33.6 x 110.3 cm (13 1/4 x 43 7/16 in),Gift of Peking University,,,Rubbing,,,,,All_images\image2900.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7503_16,,Ink on paper,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #3",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2901.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-672_1,,,Smithsonian Institution
Fragment of bowl with rim,,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2902.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-633_1-000001,,,Smithsonian Institution
"Bowl, fragment of wall and base with potter's mark",,"Liulichang kiln site, Chengdu, Sichuan province, China",1127-1279,,,Gift of Dr. David C. Graham,,,Vessel,,,,,All_images\image2903.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-167v1,,Stoneware with white slip under clear glaze,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4b #29",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2904.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-737_1,,,Smithsonian Institution
Calligraphy couplet in running script,Wu Changshuo 吳昌碩 (1844-1927),China,1920,,H x W (each): 184.9 x 46.6 cm (72 13/16 x 18 3/8 in),Gift of Robert Hatfield Ellsworth in honor of the 75th Anniversary of the Freer Gallery of Art,,,Calligraphy,,,,,All_images\image2905.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7450_30,,Pair of hanging scrolls; ink on paper,Smithsonian Institution
"Oblong tray with fluted, petal-like edges",,China,1127-1279,,H x W x D: 4 x 37 x 14.5 cm (1 9/16 x 14 9/16 x 5 11/16 in),Gift of Arthur M. Sackler,,,Container,,,,,All_images\image2906.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7416_21,,Lacquer over wood,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #24",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2907.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-669_1,,,Smithsonian Institution
"Fragment of bowl with everted rim, number on piece 97/11",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2908.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-644_1,,,Smithsonian Institution
Ornament in the form of a bird,,China,600-700,,H x W x D: 5.8 x 3.8 x 2.6 cm (2 5/16 x 1 1/2 x 1 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2909.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7383_44,,Jade,Smithsonian Institution
"Bottom part of li-shaped vessel, in at least 18 pieces glued together with dark brown adhesive, at one time had handle as if bottom part of ewer",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2910.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-899_1-000001,,,Smithsonian Institution
High-footed lacquered tray with mother-of-pearl decoration,,China,16th-17th century,,H x Diam (overall): 6 x 40 cm (2 3/8 x 15 3/4 in),Gift of Arthur M. Sackler,,,Container,,,,,All_images\image2911.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7416_32,,Black lacquer on wood core with mother-of-pearl inlay,Smithsonian Institution
Garment hook,,China,400-200 BCE,,H x W x D: 4.3 x 1.8 x 2.8 cm (1 11/16 x 11/16 x 1 1/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2912.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6192_05,,Bronze,Smithsonian Institution
Inkstick,,China,19th century,,H x W: 7 x 2.2 cm (2 3/4 x 7/8 in),Gift of Marguerite Church,,,Tool and Equipment,,,,,All_images\image2913.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7776_25,,Soot and glue with gold pigment,Smithsonian Institution
Winter Birds and Snowy Willow,Formerly attributed to Lin Chun (active late 12th century),China,18th century,,H x W: 189.3 x 86.5 cm (74 1/2 x 34 1/16 in),Gift of Elizabeth Meyer Lorentz,,,Painting,,,,,All_images\image2914.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5627_12,,Hanging scroll; ink and color on silk,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4a #42",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2915.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-715_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #16",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2916.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-694_1,,,Smithsonian Institution
"Record on Relocating Ancestral Graves of the Li Family, in seal script 李氏遷先塋記碑",,China,inscription: 767; rubbing: 20th century,,H x W: 163.5 x 76.5 cm (64 3/8 x 30 1/8 in),Gift of Peking University,,,Rubbing,,,,,All_images\image2917.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7503_24,,Ink on paper,Smithsonian Institution
"Rim fragment, number on piece ""west"" D4c #7",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2918.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-661_1,,,Smithsonian Institution
"Rim fragment, number on piece ""west"" C4b #75",,China,,,,Acquired under the guidance of the Carl Whiting Bishop expedition,,,Vessel,,,,,All_images\image2919.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-P-709_1,,,Smithsonian Institution
Lid for an incense burner,,"Shanglinhu kiln site, Zhejiang province, China",11th-early 12th century,,,Purchase — Charles Lang Freer Endowment,,,Vessel,,,,,All_images\image2920.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-fsc-p-214v1,,"Stoneware with celadon glaze, milky blue misfiring",Smithsonian Institution
Basin with frogs,,China,,,H x W x D: 18.1 x 24.7 x 24.7 cm (7 1/8 x 9 3/4 x 9 3/4 in),Gift of Arthur M. Sackler,,,Vessel,,,,,All_images\image2921.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-6352_07,,"Bronze, cast",Smithsonian Institution
Attendant flying celestial,,"Xinjiang Autonomous Region, China",6th century to 8th century,,H x W: 9.5 × 9.5 cm (3 3/4 × 3 3/4 in),Gift of Lucy L. Lo,,,Sculpture,,,,,All_images\image2922.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2022.13.1_001,,Stucco or white stone,Smithsonian Institution
Figure of a Lion,,China,220-589,,H x W x D: 4.4 x 3.1 x 4.2 cm (1 3/4 x 1 1/4 x 1 5/8 in),Gift of Elizabeth Meyer Lorentz,,,Sculpture,,,,,All_images\image2923.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5635_06,,Gilt (leaded tin) bronze,Smithsonian Institution
Jarlet (lei罍),,"Anyang, probably Henan province, China",ca. 1250-ca. 1050 BCE,,H x W x D: 7 × 6 × 5.6 cm (2 3/4 × 2 3/8 × 2 3/16 in),"The Dr. Paul Singer Collection of Chinese Art of the Arthur M. Sackler Gallery, Smithsonian Institution; a joint gift of The Arthur M. Sackler Foundation, Paul Singer, the AMS Foundation for the Arts, Sciences, and Humanities, and the Children of Arthur M. Sackler",,,Vessel,,,,,All_images\image2924.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S2010.40_001,,Marble,Smithsonian Institution
Seal carved for Wang Yachen,,China,20th century,,H x W x D: 5 x 1.9 x 1.9 cm (1 15/16 x 3/4 x 3/4 in),Gift of Benjamin Chou in memory of Wang Yachen,,,Tool and Equipment,,,,,All_images\image2925.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5921_06,,Rhodonite,Smithsonian Institution
Seal carved by Wang Zhuangwei for Wang Yachen,Wang Zhuangwei (1909-1998),China,1968,,H x W x D: 6.9 x 1.9 x 1.7 cm (2 11/16 x 3/4 x 11/16 in),Gift of Benjamin Chou in memory of Wang Yachen,,,Tool and Equipment,,,,,All_images\image2926.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5920_04,,Soapstone,Smithsonian Institution
Miniature mirror (chien),,China,,,Diam x D: 4 x 0.4 cm (1 9/16 x 3/16 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images\image2927.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5993_07,,Bronze,Smithsonian Institution
Axe (yue 鉞),,"Anyang, probably Henan province, China",ca. 1300-ca. 1050 BCE,,H x W x D: 8.6 x 5 x 0.5 cm (3 3/8 x 1 15/16 x 3/16 in),Gift of Arthur M. Sackler,,,Ceremonial Object,,,,,All_images\image2928.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S1987.698_001,,Jade (nephrite),Smithsonian Institution
Base and side of vase,,"Jingdezhen, Jiangxi province, China",14th century,,H x W: 8.5 x 7.3 cm (3 3/8 x 2 7/8 in),Gift of John A. Pope,,,Vessel,,,,,All_images\image2929.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5363_03,,Porcelain with cobalt pigment under clear glaze,Smithsonian Institution
Small box in the form of a lotus pod,,China,15th century,,H x W x D: 3.8 x 7.7 x 7.7 cm (1 1/2 x 3 1/16 x 3 1/16 in),Gift of Arthur M. Sackler,,,Container,,,,,All_images\image2930.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-7392_17,,Carved red lacquer on metal core,Smithsonian Institution
Seal carved by Fang Dazhi for Wang Yachen,Signed: Fang Dazhi (active 20th century),China,20th century,,H x W x D: 5.6 x 2.4 x 2.4 cm (2 3/16 x 15/16 x 15/16 in),Gift of Benjamin Chou in memory of Wang Yachen,,,Tool and Equipment,,,,,All_images\image2931.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5920_08,,Soapstone,Smithsonian Institution
"Oracle bone, inscribed",,China,ca. 1600 - ca. 1050 BCE,,H x W x D: 2 × 2.4 × 0.6 cm (13/16 × 15/16 × 1/4 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Natural Material,,,,,All_images\image2932.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-O-32_1,,Bone,Smithsonian Institution
"Pendant with dragon heads and raised irregular curls, one of a pair",,China,475-221 BCE,,H x W x D: 2.4 x 6.3 x 0.3 cm (15/16 x 2 1/2 x 1/8 in),Gift of Arthur M. Sackler,,,Jewelry and Ornament,,,,,All_images\image2933.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-S1987.710_001,,Jade (nephrite),Smithsonian Institution
Lacquer box with bird and flower design,,China,14th century,,H x W x D: 7.5 x 17.8 x 17.8 cm (2 15/16 x 7 x 7 in),Gift of Arthur M. Sackler,,,Container,,,,,All_images\image2934.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5977_13,,Carved red lacquer on wood core,Smithsonian Institution
"Oracle bone, inscribed",,China,ca. 1600 - ca. 1050 BCE,,H x W x D: 4.8 × 2.9 × 0.4 cm (1 7/8 × 1 1/8 × 3/16 in),Gift of the John Hadley Cox Archaeological Study Collection,,,Unclassified,,,,,All_images\image2935.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-FSC-O-30_1,,Bone,Smithsonian Institution
Mirror,,China,206 BCE-220 CE,,Diam x D: 9.4 x 1 cm (3 11/16 x 3/8 in),Gift of Charles Lang Freer,,,Mirror,,,,,All_images\image2936.jpg,https://ids.si.edu/ids/deliveryService?max_w=800&id=FS-5993_06,,Bronze,Smithsonian Institution
